Source,Relation,Target
CC1_NE6_NS24,next,DT12_NE7
CC1_NE6_NS24,next,CC2
CC1_NE6_NS24,next,EW13_NS25
CC10_DT26,next,CC11
CC10_DT26,next,DT27
CC11,next,CC12
CC12,next,CC13_NE12
CC13_NE12,next,NE13
CC13_NE12,next,CC14
CC14,next,CC15_NS17
CC15_NS17,next,NS18
CC15_NS17,next,CC16
CC16,next,CC17
CC17,next,CC19_DT9
CC19_DT9,next,CC20
CC19_DT9,next,DT10
CC2,next,CC3
CC20,next,CC21
CC21,next,CC22_EW21
CC22_EW21,next,EW22
CC22_EW21,next,CC23
CC23,next,CC24
CC24,next,CC25
CC25,next,CC26
CC26,next,CC27
CC27,next,CC28
CC28,next,CC29_NE1
CC29_NE1,next,EW16_NE3
CC3,next,CC4_DT15
CC4_DT15,next,CE1_DT16
CC4_DT15,next,CC5
CC5,next,CC6
CC6,next,CC7
CC7,next,CC8
CC8,next,CC9_EW8
CC9_EW8,next,CC10_DT26
CC9_EW8,next,EW9
CE1_DT16,next,CE2_NS27
CE1_DT16,next,DT17
CE2_NS27,next,NS28
CG1_DT35,next,CG2
DT1,next,DT2
DT10,next,DT11_NS21
DT11_NS21,next,DT12_NE7
DT11_NS21,next,NS22
DT12_NE7,next,NE8
DT12_NE7,next,DT13
DT13,next,DT14_EW12
DT14_EW12,next,CC4_DT15
DT14_EW12,next,EW13_NS25
DT17,next,DT18
DT18,next,DT19_NE4
DT19_NE4,next,NE5
DT19_NE4,next,DT20
DT2,next,DT3
DT20,next,DT21
DT21,next,DT22
DT22,next,DT23
DT23,next,DT24
DT24,next,DT25
DT25,next,CC10_DT26
DT27,next,DT28
DT28,next,DT29
DT29,next,DT30
DT3,next,DT5
DT30,next,DT31
DT31,next,DT32_EW2
DT32_EW2,next,EW3
DT32_EW2,next,DT33
DT33,next,DT34
DT34,next,CG1_DT35
DT5,next,DT6
DT6,next,DT7
DT7,next,DT8
DT8,next,CC19_DT9
EW1,next,DT32_EW2
EW10,next,EW11
EW11,next,DT14_EW12
EW13_NS25,next,EW14_NS26
EW13_NS25,next,EW14_NS26
EW14_NS26,next,CE2_NS27
EW14_NS26,next,EW15
EW15,next,EW16_NE3
EW16_NE3,next,DT19_NE4
EW16_NE3,next,EW17
EW17,next,EW18
EW18,next,EW19
EW19,next,EW20
EW20,next,CC22_EW21
EW22,next,EW23
EW23,next,EW24_NS1
EW24_NS1,next,NS2
EW24_NS1,next,EW25
EW25,next,EW26
EW26,next,EW27
EW27,next,EW28
EW28,next,EW29
EW29,next,EW30
EW3,next,EW4
EW30,next,EW31
EW31,next,EW32
EW32,next,EW33
EW4,next,EW5
EW5,next,EW6
EW6,next,EW7
EW7,next,CC9_EW8
EW9,next,EW10
NE10,next,NE11
NE11,next,CC13_NE12
NE13,next,NE14
NE14,next,NE15
NE15,next,NE16
NE16,next,NE17
NE5,next,CC1_NE6
NE8,next,NE9
NE9,next,NE10
NS10,next,NS11
NS11,next,NS13
NS13,next,NS14
NS14,next,NS15
NS15,next,NS16
NS16,next,CC15_NS17
NS18,next,NS19
NS19,next,NS20
NS2,next,NS3
NS20,next,DT11_NS21
NS22,next,NS23
NS23,next,CC1_NS24
NS3,next,NS4
NS4,next,NS5
NS5,next,NS7
NS7,next,NS8
NS8,next,NS9
NS9,next,NS10
