Town,Label,type
HDB_Ang_Mo_Kio, ANG MO KIO,HDB_town
HDB_Bedok, BEDOK,HDB_town
HDB_Bishan, BISHAN,HDB_town
HDB_Bukit_Batok, BUKIT BATOK,HDB_town
HDB_Bukit_Merah, BUKIT MERAH,HDB_town
HDB_Bukit_Panjang, BUKIT PANJANG,HDB_town
HDB_Bukit_Timah, BUKIT TIMAH,HDB_town
HDB_Central_Area, CENTRAL AREA,HDB_town
HDB_Choa_Chu_Kang, CHOA CHU KANG,HDB_town
HDB_Clementi, CLEMENTI,HDB_town
HDB_Geylang, GEYLANG,HDB_town
HDB_Hougang, HOUGANG,HDB_town
HDB_Jurong_East, JURONG EAST,HDB_town
HDB_Jurong_West, JURONG WEST,HDB_town
HDB_Kallang_Whampoa, KALLANG/WHAMPOA,HDB_town
HDB_Marine_Parade, MARINE PARADE,HDB_town
HDB_Pasir_Ris, PASIR RIS,HDB_town
HDB_Punggol, PUNGGOL,HDB_town
HDB_Queenstown, QUEENSTOWN,HDB_town
HDB_Sembawang, SEMBAWANG,HDB_town
HDB_Sengkang, SENGKANG,HDB_town
HDB_Serangoon, SERANGOON,HDB_town
HDB_Tampines, TAMPINES,HDB_town
HDB_Tengah, TENGAH,HDB_town
HDB_Toa_Payoh, TOA PAYOH,HDB_town
HDB_Woodlands, WOODLANDS,HDB_town
HDB_Yishun, YISHUN,HDB_town
